ID,boxes,classes
07664,506;1577;660;699|1529;1570;577;935|513;683;788;339|2243;647;247;253|2086;1317;186;167|1238;1643;596;540,1|1|1|1|1|1
03999,,
05224,946;1657;622;608,1
05640,,
05090,,
00504,278;591;1073;394,1
07593,272;365;1062;323|2162;774;818;483|1011;1708;626;531,1|1|1
01968,,
03681,,
07931,868;1122;669;550,1
07507,,
00316,,
05130,,
05081,,
00518,,
01386,,
06262,927;181;978;1062,1
03770,1181;1626;462;662,1
07932,767;131;485;360,1
02305,914;51;1085;1122,1
03647,,
07445,167;322;131;154|1239;279;122;160|179;662;124;165|1185;600;175;137|629;1032;303;282,1|1|1|1|1
07923,852;405;2151;985,1
02250,494;244;449;403,1
04923,1078;115;551;1088,1
04127,1164;62;411;231,1
02374,,
04604,,
03985,,
06391,1042;1299;138;122|1676;2225;145;119,1|1
05099,590;29;388;478|1453;29;385;510,1|1
03221,872;1278;1153;889|549;1382;347;326,1|1
06147,1153;644;324;260,1
07689,,
07919,,
04101,521;139;1164;1129,1
02454,688;1290;302;314,1
02751,1259;1587;544;652|2292;753;569;401|460;822;477;269,1|1|1
00794,,
04665,,
01983,1107;760;143;143|885;398;146;128|1488;36;420;225|701;47;332;222,1|1|1|1
03622,1296;976;836;519,1
03450,,
07948,,
03950,,
04468,,
00730,431;1669;499;1929|893;30;1221;1081|900;2199;458;756,1|1|1
04915,,
02911,,
03045,444;486;285;383,1
05590,,
03891,517;385;607;252,1
02632,518;60;1036;1135,1
06908,,
02437,85;1897;899;2384,1
02367,,
06345,482;807;643;596,1
03930,,
06220,,
03733,,
00775,,
07291,,
00381,,
06223,946;408;333;145,1
00383,695;67;374;350|1468;171;276;284|1794;878;147;117|1198;498;171;207,1|1|1|1
01042,732;1626;930;892|2050;878;194;172,1|1
01810,,
03700,1542;740;501;289|813;758;532;302,1|1
00731,,
06931,200;1906;300;500|2124;2346;294;547|2555;1822;201;210,1|1|1
00285,,
06267,284;1331;596;1714,1
00384,,
04269,913;91;910;443|1655;151;863;292,1|1
07880,992;190;409;493|805;806;371;241,1|1
00736,,
03909,,
05286,,
03030,875;1408;285;220,1
03956,,
02000,,
03348,,
06350,441;870;79;95|538;984;83;87|1394;292;647;406,1|1|1
06353,,
02953,,
04376,,
05164,,
01376,,
04749,,
06316,1678;72;326;407,1
07837,886;112;575;311|1867;20;571;267,1|1
00579,,
06187,580;70;461;561,1
05799,,
05028,,
00825,,
07550,1000;1306;571;557,1
04878,,
04193,,
07417,,
04935,,
00227,,
00147,,
03290,,
05267,1725;273;570;476,1
05153,397;940;368;412|3257;1390;312;220,1|1
01463,,
06138,,
07146,921;24;389;344|1609;7;395;306,1|1
01855,,
03097,1432;309;225;151,1
07161,717;9;268;247,1
03855,,
04447,,
05424,,
00723,,
01126,1287;122;449;250,1
02205,,
07384,,
02863,,
00366,1491;1223;267;279,1
