name,covid_unet_finetune_test/opacity_dice_run_results,covid_unet_finetune_test/opacity_dice_mean,covid_unet_finetune_test/opacity_dice_std,covid_unet_finetune_test/opacity_dice_num_runs,covid_unet_finetune_test/opacity_dice_95_interval
ImageNet,0.4316900372505188;0.4607755243778229;0.4330800473690033;0.4633693993091583;0.40694868564605713,0.4391727387905121,0.023364824189029,5.0,0.020480171386248
byol_100,0.5021612644195557;0.4787779152393341;0.4883913993835449;0.5082823634147644;0.5583856701850891,0.5071997225284577,0.0308549491897767,5.0,0.0270455554216119
byol_30,0.4614170789718628;0.4672079384326935;0.47955361008644104;0.4322696626186371;0.4678857624530792,0.4616668105125427,0.0177029074660178,5.0,0.0155172825614145
chexpert_30,0.4685051441192627;0.37611860036849976;0.4978848099708557;0.4562317430973053;0.37394416332244873,0.4345368921756744,0.0563951305370168,5.0,0.0494325114284515
chexpert_100,0.4709348678588867;0.48250600695610046;0.4637846350669861;0.4629626274108886;0.4301755130290985,0.4620727300643921,0.0194756981995746,5.0,0.0170712021527395
ConVIRT_100,0.48684462904930115;0.475591778755188;0.4884217977523804;0.4684213399887085;0.4761623442173004,0.4790883779525757,0.0083941309038602,5.0,0.0073577801467208
ConVIRT_30,0.49157118797302246;0.47947320342063904;0.449759304523468;0.5164286494255066;0.5005851984024048,0.4875635087490081,0.025067075706485,5.0,0.0219722606285189
LoVT_100,0.5115025639533997;0.4852478504180908;0.48323023319244385;0.5308707356452942;0.5504631996154785,0.5122629165649414,0.0290637282316316,5.0,0.0254754810261592
LoVT_30,0.5074538588523865;0.4869449734687805;0.5133095979690552;0.48319706320762634;0.48377642035484314,0.4949363827705383,0.0143220219569267,5.0,0.0125538057510056
pixelpro_30,0.4327126741409302;0.45989060401916504;0.3810738027095794;0.46686211228370667;0.4631308913230896,0.4407340168952942,0.0359685810092058,5.0,0.0315278513387905
pixelpro_100,0.4345954060554504;0.4235600233078003;0.5001029968261719;0.4446514546871186;0.4373649060726166,0.44805495738983153,0.030066679043356286,5.0,0.026354606173856293
random,0.32628101110458374;0.3266918361186981;0.3515430986881256;0.3412798345088959;0.3535565733909607,0.3398704707622528,0.0130757005441912,5.0,0.0114613568659351
simclr_100,0.4500499665737152;0.5093656778335571;0.4899206757545471;0.4511317312717438;0.5029544234275818,0.480684494972229,0.0283536028209432,5.0,0.0248530286593462
simclr_30,0.4079817235469818;0.47356775403022766;0.41983792185783386;0.4768327176570892;0.4686126708984375,0.449366557598114,0.0327686799872293,5.0,0.0287230144258776
