name,nih_seg_lin_test/avg_dice_run_results,nih_seg_lin_test/avg_dice_mean,nih_seg_lin_test/avg_dice_std,nih_seg_lin_test/avg_dice_num_runs,nih_seg_lin_test/avg_dice_95_interval,nih_seg_lin_test/Atelectasis_dice_run_results,nih_seg_lin_test/Atelectasis_dice_mean,nih_seg_lin_test/Atelectasis_dice_std,nih_seg_lin_test/Atelectasis_dice_num_runs,nih_seg_lin_test/Atelectasis_dice_95_interval,nih_seg_lin_test/Cardiomegaly_dice_run_results,nih_seg_lin_test/Cardiomegaly_dice_mean,nih_seg_lin_test/Cardiomegaly_dice_std,nih_seg_lin_test/Cardiomegaly_dice_num_runs,nih_seg_lin_test/Cardiomegaly_dice_95_interval,nih_seg_lin_test/Effusion_dice_run_results,nih_seg_lin_test/Effusion_dice_mean,nih_seg_lin_test/Effusion_dice_std,nih_seg_lin_test/Effusion_dice_num_runs,nih_seg_lin_test/Effusion_dice_95_interval,nih_seg_lin_test/Infiltrate_dice_run_results,nih_seg_lin_test/Infiltrate_dice_mean,nih_seg_lin_test/Infiltrate_dice_std,nih_seg_lin_test/Infiltrate_dice_num_runs,nih_seg_lin_test/Infiltrate_dice_95_interval,nih_seg_lin_test/Mass_dice_run_results,nih_seg_lin_test/Mass_dice_mean,nih_seg_lin_test/Mass_dice_std,nih_seg_lin_test/Mass_dice_num_runs,nih_seg_lin_test/Mass_dice_95_interval,nih_seg_lin_test/Nodule_dice_run_results,nih_seg_lin_test/Nodule_dice_mean,nih_seg_lin_test/Nodule_dice_std,nih_seg_lin_test/Nodule_dice_num_runs,nih_seg_lin_test/Nodule_dice_95_interval,nih_seg_lin_test/Pneumonia_dice_run_results,nih_seg_lin_test/Pneumonia_dice_mean,nih_seg_lin_test/Pneumonia_dice_std,nih_seg_lin_test/Pneumonia_dice_num_runs,nih_seg_lin_test/Pneumonia_dice_95_interval,nih_seg_lin_test/Pneumothorax_dice_run_results,nih_seg_lin_test/Pneumothorax_dice_mean,nih_seg_lin_test/Pneumothorax_dice_std,nih_seg_lin_test/Pneumothorax_dice_num_runs,nih_seg_lin_test/Pneumothorax_dice_95_interval
ImageNet,0.05915634334087372;0.01769447512924671;0.01769447512924671;0.01769447512924671;0.01769447512924671,0.0259868487715721,0.0185423111590671,5.0,0.0162530523389577,0.0;0.0;0.0;0.0;0.0,0.0,0.0,5.0,0.0,0.2700404226779938;0.07033844292163849;0.07033844292163849;0.07033844292163849;0.07033844292163849,0.1102788388729095,0.0893094403952994,5.0,0.0782831760644912,0.02000272274017334;0.02000272274017334;0.02000272274017334;0.02000272274017334;0.02000272274017334,0.0200027227401733,0.0,5.0,0.0,0.18320760130882263;0.03280414640903473;0.03280414640903473;0.03280414640903473;0.03280414640903473,0.0628848373889923,0.0672624698413499,5.0,0.0589581543207168,0.0;0.0;0.0;0.0;0.0,0.0,0.0,5.0,0.0,0.0;0.0;0.0;0.0;0.0,0.0,0.0,5.0,0.0,0.0;0.01841048337519169;0.01841048337519169;0.01841048337519169;0.01841048337519169,0.0147283867001533,0.0082334184651116,5.0,0.0072169094830751,0.0;0.0;0.0;0.0;0.0,0.0,0.0,5.0,0.0
byol_100,0.05647685751318931;0.056534476578235626;0.05648774653673172;0.05658039078116417;0.05656980350613594,0.0565298549830913,4.67786371990948e-05,5.0,4.1003283367414725e-05,0.0;0.0;0.0;0.0;0.0,0.0,0.0,5.0,0.0,0.2280331552028656;0.22858211398124695;0.2285739779472351;0.22858430445194244;0.2285543829202652,0.228465586900711,0.0002420242461125,5.0,0.0002121436052722,0.05991947278380394;0.05899672955274582;0.05893690511584282;0.05920746549963951;0.05923033133149147,0.0592581808567047,0.0003912254919965,5.0,0.0003429242634969,0.09529952704906464;0.09520745277404784;0.09515726566314696;0.095233216881752;0.095226988196373,0.0952248901128769,5.128727002011568e-05,5.0,4.495527428098334e-05,0.0;0.0;0.0;0.0;0.0,0.0,0.0,5.0,0.0,0.0;0.0;0.0;0.0;0.0,0.0,0.0,5.0,0.0,0.06856270879507065;0.0694895014166832;0.06923381984233856;0.06961812824010849;0.06954672932624817,0.0692901775240898,0.0004317080765631,5.0,0.0003784088134073,0.0;0.0;0.0;0.0;0.0,0.0,0.0,5.0,0.0
byol_30,0.06088119000196457;0.05925345793366432;0.06088418886065483;0.06090233102440834;0.05919332429766655,0.0602228984236717,0.0009127046685052,5.0,0.0008000209154064,0.0;0.0;0.0;0.0;0.0,0.0,0.0,5.0,0.0,0.48704952001571655;0.4740276634693146;0.48707351088523865;0.4872186481952667;0.4735465943813324,0.4817831873893737,0.0073016373480423,5.0,0.0064001673232513,0.0;0.0;0.0;0.0;0.0,0.0,0.0,5.0,0.0,0.0;0.0;0.0;0.0;0.0,0.0,0.0,5.0,0.0,0.0;0.0;0.0;0.0;0.0,0.0,0.0,5.0,0.0,0.0;0.0;0.0;0.0;0.0,0.0,0.0,5.0,0.0,0.0;0.0;0.0;0.0;0.0,0.0,0.0,5.0,0.0,0.0;0.0;0.0;0.0;0.0,0.0,0.0,5.0,0.0
chexpert_30,0.08479560911655426;0.08309894055128098;0.08034674823284149;0.09046301990747452;0.09852566570043564,0.0874459967017173,0.0072142614745846,5.0,0.0063235789933346,0.006805730517953634;0.0;0.09960725903511047;0.11783165484666824;0.13601002097129822,0.0720509330742061,0.064020043589038,5.0,0.0561160423999347,0.5250333547592163;0.5311482548713684;0.5431666970252991;0.5370505452156067;0.5118221044540405,0.5296441912651062,0.0120297655815838,5.0,0.010544554448773,0.1196851134300232;0.1234535276889801;0.0;0.0;0.14037315547466278,0.0767023593187332,0.0704515135185626,5.0,0.0617534743513385,0.026840658858418465;0.0;0.0;0.06882194429636002;0.0,0.0191325206309556,0.0301106885350349,5.0,0.0263931821941554,0.0;0.0;0.0;0.0;0.0,0.0,0.0,5.0,0.0,0.0;0.0;0.0;0.0;0.0,0.0,0.0,5.0,0.0,0.0;0.010189714841544628;0.0;0.0;0.0,0.0020379429683089,0.0045569790114064,5.0,0.0039943682178854,0.0;0.0;0.0;0.0;0.0,0.0,0.0,5.0,0.0
chexpert_100,0.15236563980579376;0.1522502452135086;0.1523018181324005;0.15222594141960144;0.1522584706544876,0.1522804230451583,5.495566975721724e-05,5.0,4.817076842385751e-05,0.2041068971157074;0.19420477747917175;0.19408202171325684;0.1941324323415756;0.19430552423000336,0.196166330575943,0.0044397064442315,5.0,0.0038915742805026,0.5321965217590332;0.5339089035987854;0.5339629650115967;0.5337313413619995;0.533897876739502,0.5335395216941834,0.0007557461848711,5.0,0.0006624407384983,0.12496344745159148;0.12544451653957367;0.12549036741256714;0.1254955232143402;0.12550030648708344,0.1253788322210312,0.0002332765636364,5.0,0.0002044759235087,0.22018909454345703;0.22334040701389313;0.2233944684267044;0.22335423529148105;0.2233440726995468,0.2227244555950164,0.0014174728241762,5.0,0.0012424697117177,0.0;0.005639097653329372;0.0060363817028701305;0.0056296661496162415;0.00564740551635623,0.0045905102044343,0.0025719514353771,5.0,0.0022544148317779,0.0;0.0;0.0;0.0;0.0,0.0,0.0,5.0,0.0,0.1374691277742386;0.13546425104141235;0.1354483813047409;0.13546429574489594;0.1353725790977478,0.1358437269926071,0.0009094196393782,5.0,0.0007971414604194,0.0;0.0;0.0;0.0;0.0,0.0,0.0,5.0,0.0
ConVIRT_100,0.18484364449977875;0.18710315227508545;0.18576045334339145;0.18694348633289337;0.18650086224079132,0.186230319738388,0.000933712900302,5.0,0.0008184354424851,0.22670459747314453;0.2316651940345764;0.2318337559700012;0.23289552330970764;0.23209713399410248,0.2310392409563064,0.0024686599271804,5.0,0.002163875832918,0.3294716477394104;0.3525165915489197;0.3494725823402405;0.351825475692749;0.3506421148777008,0.346785682439804,0.0097482066950649,5.0,0.0085446799089224,0.17234990000724792;0.16975648701190948;0.16900068521499634;0.16967712342739105;0.1694210320711136,0.1700410455465316,0.001323913527985,5.0,0.0011604613728032,0.23257549107074735;0.2225596010684967;0.21926657855510712;0.2216927856206894;0.22099317610263824,0.2234175264835357,0.0052603927114866,5.0,0.0046109375109616,0.17900770902633667;0.17887569963932037;0.1750965267419815;0.17789913713932037;0.1772196739912033,0.1776197493076324,0.0015897022796371,5.0,0.0013934354856119,0.0;0.0;0.0;0.0;0.0,0.0,0.0,5.0,0.0,0.16255612671375275;0.16233570873737335;0.16216489672660828;0.1623566448688507;0.1623486578464508,0.1623524069786071,0.0001387197463038,5.0,0.0001215932187623,0.17608368396759033;0.17911601066589355;0.1792486011981964;0.17920121550559998;0.17928506433963776,0.1785869151353836,0.0014007778251552,5.0,0.0012278358998612
ConVIRT_30,0.12509018182754517;0.11415022611618042;0.11312845349311829;0.10057619214057922;0.11790013313293456,0.1141690373420715,0.0089308605681905,5.0,0.0078282444405941,0.13380876183509827;0.08580590039491653;0.1121680811047554;0.13686206936836243;0.12777675688266754,0.11928431391716,0.0209970450477695,5.0,0.0184047214609477,0.07033844292163849;0.07033844292163849;0.07033844292163849;0.07033844292163849;0.07033844292163849,0.0703384429216384,0.0,5.0,0.0,0.19430111348629;0.1962891072034836;0.17036238312721252;0.1770797073841095;0.17552658915519714,0.1827117800712585,0.0117740315652224,5.0,0.0103203937000336,0.22427460551261905;0.23012959957122803;0.20030196011066437;0.1225520446896553;0.25669434666633606,0.2067905113101005,0.0511835421044623,5.0,0.0448643527541217,0.0;0.0;0.0;0.0;0.0,0.0,0.0,5.0,0.0,0.0;0.0;0.0;0.0;0.0,0.0,0.0,5.0,0.0,0.22048832476139069;0.204848974943161;0.17918159067630768;0.14349877834320068;0.15905387699604034,0.18141430914402,0.0316959133449893,5.0,0.0277826930045488,0.1575102657079697;0.12578977644443512;0.17267508804798126;0.1542784869670868;0.1538110375404358,0.1528129309415817,0.0169555683261431,5.0,0.0148622109227642
LoVT_100,0.10478605329990388;0.09121674299240112;0.09191980212926865;0.09089145064353944;0.09186932444572447,0.0941366747021675,0.0059691319739177,5.0,0.0052321748652562,0.0;0.0;0.0;0.0;0.0,0.0,0.0,5.0,0.0,0.4416803419589996;0.4649796485900879;0.46072128415107727;0.4621145129203797;0.46316561102867126,0.4585322797298431,0.0095478828250652,5.0,0.008369088294915,0.08766679465770721;0.09250584989786148;0.10024109482765198;0.09131526947021484;0.09812106937170029,0.0939700156450271,0.0051351663692455,5.0,0.0045011717823422,0.16826847195625305;0.02950582280755043;0.031366847455501556;0.0306959580630064;0.030539238825440407,0.0580752678215503,0.0616034792849776,5.0,0.0539978303940304,0.0;0.0;0.0;0.0;0.0,0.0,0.0,5.0,0.0,0.0;0.0;0.0;0.0;0.0,0.0,0.0,5.0,0.0,0.14067280292510986;0.14274261891841888;0.14302916824817655;0.1430058777332306;0.1431286782026291,0.142515829205513,0.0010401235346875,5.0,0.000911708475995,0.0;0.0;0.0;0.0;0.0,0.0,0.0,5.0,0.0
LoVT_30,0.12909027934074402;0.12400106340646744;0.13239052891731262;0.13823115825653076;0.1478696167469025,0.1343165293335914,0.0091711845189438,5.0,0.0080388976712724,0.0;0.0;0.0;0.0;0.0,0.0,0.0,5.0,0.0,0.6079469919204712;0.5992507338523865;0.644733190536499;0.5604463219642639;0.6055771112442017,0.6035908699035645,0.0299829130446908,5.0,0.0262811820387064,0.16292141377925873;0.17036500573158264;0.16125069558620453;0.02000272274017334;0.15872050821781158,0.1346520692110061,0.0642374871175353,5.0,0.0563066400562418,0.1635270714759827;0.21381138265132904;0.17009694874286652;0.2280120551586151;0.26771974563598633,0.2086334407329559,0.0430499098986017,5.0,0.0377349097837377,0.0;0.0;0.0;0.0;0.0,0.0,0.0,5.0,0.0,0.0;0.0;0.0;0.0;0.0,0.0,0.0,5.0,0.0,0.09832679480314256;0.008581378497183323;0.08304334431886673;0.18889841437339783;0.15093955397605896,0.1059578971937298,0.0688621370702424,5.0,0.0603603244694683,0.0;0.0;0.0;0.10848970711231232;0.0,0.0216979414224624,0.0485180719924345,5.0,0.0425279651880264
pixelpro_30,0.01769447512924671;0.01769447512924671;0.01769447512924671;0.01769447512924671;0.01769447512924671,0.0176944751292467,0.0,5.0,0.0,0.0;0.0;0.0;0.0;0.0,0.0,0.0,5.0,0.0,0.07033844292163849;0.07033844292163849;0.07033844292163849;0.07033844292163849;0.07033844292163849,0.0703384429216384,0.0,5.0,0.0,0.02000272274017334;0.02000272274017334;0.02000272274017334;0.02000272274017334;0.02000272274017334,0.0200027227401733,0.0,5.0,0.0,0.03280414640903473;0.03280414640903473;0.03280414640903473;0.03280414640903473;0.03280414640903473,0.0328041464090347,0.0,5.0,0.0,0.0;0.0;0.0;0.0;0.0,0.0,0.0,5.0,0.0,0.0;0.0;0.0;0.0;0.0,0.0,0.0,5.0,0.0,0.01841048337519169;0.01841048337519169;0.01841048337519169;0.01841048337519169;0.01841048337519169,0.0184104833751916,0.0,5.0,0.0,0.0;0.0;0.0;0.0;0.0,0.0,0.0,5.0,0.0
