name,pneumo_unet_finetune_full_test/pneumothorax_dice_run_results,pneumo_unet_finetune_full_test/pneumothorax_dice_mean,pneumo_unet_finetune_full_test/pneumothorax_dice_std,pneumo_unet_finetune_full_test/pneumothorax_dice_num_runs,pneumo_unet_finetune_full_test/pneumothorax_dice_95_interval
ImageNet,0.369144082069397;0.38809582591056824;0.3961779773235321;0.3886496424674988;0.3845091462135315,0.3853153347969055,0.0099875559566082,5.0,0.0087544787868391
byol_100,0.4351189136505127;0.4187795221805573;0.43334418535232544;0.4184073209762573;0.4235847592353821,0.4258469402790069,0.0079465711302671,5.0,0.0069654767082433
byol_30,0.44052430987358093;0.4325423538684845;0.4282363951206207;0.4207286834716797;0.4316029250621796,0.430726933479309,0.0071801720241385,5.0,0.0062936982725575
chexpert_30,0.3992561101913452;0.3872778117656708;0.3750055134296417;0.39839890599250793;0.3830002546310425,0.3885877192020416,0.0103378658823511,5.0,0.0090615389752434
chexpert_100,0.35242414474487305;0.3505382239818573;0.34001582860946655;0.3308456540107727;0.33527013659477234,0.3418187975883484,0.009421349728992,5.0,0.0082581771460595
ConVIRT_100,0.3965408504009247;0.39219558238983154;0.388447105884552;0.3911961615085602;0.39646461606025696,0.3929688632488251,0.0035059272789655,5.0,0.0030730807542156
ConVIRT_30,0.4425848722457886;0.4138475060462952;0.41683992743492126;0.42301639914512634;0.4308566153049469,0.4254290640354156,0.0115920961543268,5.0,0.0101609202810931
LoVT_100,0.4379163980484009;0.4371230900287628;0.44350701570510864;0.4399798810482025;0.4451691508293152,0.440739107131958,0.0034966518105562,5.0,0.0030649504476841
LoVT_30,0.4342937469482422;0.4322644174098969;0.44247153401374817;0.43902352452278137;0.4209962487220764,0.433809894323349,0.0082008851325691,5.0,0.00718839275978
pixelpro_30,0.3934732377529144;0.3685477077960968;0.38839036226272583;0.3770568668842316;0.3910427987575531,0.3837021946907043,0.0105493544881602,5.0,0.0092469169116733
pixelpro_100,0.3925324082374573;0.3745494782924652;0.3855934143066406;0.400334894657135;0.3922187387943268,0.389045786857605,0.0096401497109095,5.0,0.0084499637862125
random,0.22994288802146912;0.2489081621170044;0.22154858708381653;0.22365081310272217;0.23382249474525452,0.23157458901405334,0.010856740120991892,5.0,0.009516352298438165
simclr_100,0.41869375109672546;0.4179648458957672;0.42038553953170776;0.3997112810611725;0.4036771059036255,0.4120865046977996,0.009630014635584,5.0,0.0084410800009976
simclr_30,0.4313296675682068;0.4200368821620941;0.4292554259300232;0.4253935217857361;0.42189744114875793,0.4255825877189636,0.0047668010398142,5.0,0.0041782853348145
