name,pneumo_unet_frozen_full_test/pneumothorax_dice_run_results,pneumo_unet_frozen_full_test/pneumothorax_dice_mean,pneumo_unet_frozen_full_test/pneumothorax_dice_std,pneumo_unet_frozen_full_test/pneumothorax_dice_num_runs,pneumo_unet_frozen_full_test/pneumothorax_dice_95_interval
ImageNet,0.3763536810874939;0.3763681948184967;0.3646320104598999;0.35828927159309387;0.37112846970558167,0.3693543255329132,0.0078432870408398,5.0,0.0068749442122215
byol_100,0.396775096654892;0.4038442373275757;0.418374627828598;0.4097698926925659;0.404713362455368,0.4066954433917999,0.0080051059932308,5.0,0.0070167847778384
byol_30,0.4350528717041016;0.4298439025878906;0.42909812927246094;0.4257432222366333;0.4277135729789734,0.429490339756012,0.0034791661104722,5.0,0.0030496235557875
chexpert_30,0.39543846249580383;0.4176037311553955;0.40250492095947266;0.4075637459754944;0.4105398058891296,0.4067301332950592,0.0083486210616312,5.0,0.00731788901118
chexpert_100,0.37734681367874146;0.37484052777290344;0.37398868799209595;0.3825191259384155;0.37450551986694336,0.3766401350498199,0.0035315459922948,5.0,0.0030955365465397
ConVIRT_100,0.4303241074085235;0.42664411664009094;0.428048700094223;0.4346301257610321;0.4342694580554962,0.4307833015918731,0.0035976763261624,5.0,0.0031535023399256
ConVIRT_30,0.4260145127773285;0.4233388304710388;0.4212577641010285;0.4279803931713104;0.4259802997112274,0.4249143600463867,0.0026267903358478,5.0,0.0023024832474093
LoVT_100,0.4437149167060852;0.43634358048439026;0.4484308660030365;0.43761515617370605;0.42661139369010925,0.4385431826114654,0.0082550012999365,5.0,0.0072358276719148
LoVT_30,0.4290328919887543;0.4204568862915039;0.43860092759132385;0.4289343059062958;0.437399685382843,0.4308849394321442,0.0073816957954032,5.0,0.0064703416463964
pixelpro_30,0.3904339671134949;0.3864156901836395;0.3908960521221161;0.37820982933044434;0.3927467465400696,0.3877404570579529,0.0058065390543477,5.0,0.0050896558874953
pixelpro_100,0.3765631914138794;0.3868005573749542;0.3928592801094055;0.3809463083744049;0.3872195780277252,0.3848777830600738,0.0062744379694916,5.0,0.0054997873695925
random,0.2422030419111252;0.2204251140356064;0.22206924855709076;0.24422718584537503;0.263870507478714,0.2385590195655823,0.01793620295581945,5.0,0.015721775074438418
simclr_100,0.3843991756439209;0.3896346390247345;0.3957582712173462;0.3789496421813965;0.3885347247123718,0.3874552905559539,0.0062557996758414,5.0,0.0054834501848906
simclr_30,0.3827775120735169;0.40118542313575745;0.39234521985054016;0.3863118886947632;0.39774289727211,0.3920725882053375,0.0076624831572937,5.0,0.0067164626207331
