name,rsna_seg_lin_1_test/opacity_dice_run_results,rsna_seg_lin_1_test/opacity_dice_mean,rsna_seg_lin_1_test/opacity_dice_std,rsna_seg_lin_1_test/opacity_dice_num_runs,rsna_seg_lin_1_test/opacity_dice_95_interval
ImageNet,0.27201393246650696;0.28633660078048706;0.27391892671585083;0.2771872878074646;0.2666316330432892,0.2752176761627197,0.0073003546991258,5.0,0.0063990430319052
byol_100,0.4185090959072113;0.41852042078971863;0.41850337386131287;0.4185019135475158;0.4185212254524231,0.4185112059116364,9.18485625282775e-06,5.0,8.050881474395643e-06
byol_30,0.4280443787574768;0.429606169462204;0.4309436082839966;0.4278716444969177;0.4292330145835877,0.4291397631168365,0.0012538022004139,5.0,0.001099006084582
chexpert_30,0.39218130707740784;0.3880667984485626;0.387985497713089;0.3878486454486847;0.3879489600658417,0.3888062417507171,0.0018883448901566,5.0,0.0016552072754269
chexpert_100,0.39857327938079834;0.4001326560974121;0.3987080454826355;0.40023311972618103;0.4001801311969757,0.3995654463768005,0.0008462983572674,5.0,0.0007418132171897
ConVIRT_100,0.44878315925598145;0.4461033642292022;0.44561880826950073;0.4453994929790497;0.44538626074790955,0.4462582170963287,0.0014409953982421,5.0,0.0012630881569676
ConVIRT_30,0.4200668931007385;0.42162972688674927;0.4218529462814331;0.4215206801891327;0.4204587936401367,0.421105808019638,0.0007910115824954,5.0,0.0006933522224242
LoVT_100,0.4637266993522644;0.4632646441459656;0.4631454646587372;0.4631621539592743;0.4631358385086059,0.4632869601249695,0.000251149298144,5.0,0.0002201420660353
LoVT_30,0.4602607190608978;0.4593919515609741;0.4594123959541321;0.4593825340270996;0.4594292938709259,0.4595753788948059,0.0003835460031759,5.0,0.000336192894755
pixelpro_30,0.23374952375888824;0.23028236627578735;0.23148134350776672;0.23005814850330353;0.230091392993927,0.2311325550079345,0.0015757036061676,5.0,0.0013811651073067
pixelpro_100,0.2369653433561325;0.23186658322811127;0.19824650883674624;0.2390356808900833;0.14495450258255005,0.21021372377872466,0.04005365422991077,5.0,0.03510857589329817
random,0.21660105884075165;0.21974514424800873;0.23434759676456451;0.22406722605228424;0.1984041929244995,0.2186330437660217,0.0131439116100521,5.0,0.0115211465013275
simclr_100,0.4302791655063629;0.4302431046962738;0.4302142262458801;0.43026551604270935;0.4302223920822144,0.4302448809146881,2.7612737062692868e-05,5.0,2.4203631189867576e-05
simclr_30,0.4311918318271637;0.4313393235206604;0.43134430050849915;0.4313490092754364;0.4313395023345947,0.4313127934932709,6.773699895926812e-05,5.0,5.937409743178436e-05
